Subject,story,trial,total words,Words missed,in %,Coder
IN14,Tim's brilliant career,4,282,31,11.0,JC
IN14,Rabbit's thesis,5,361,16,4.0,JC
IN14,Lion & mouse,6,219,6,3.0,JC
IN14,Cat Videos,7,291,1,0.0,JC
IN14,Man vs. monkeys,8,324,0,0.0,JC
IN15,Lion & mouse,1,219,4,2.0,SB
IN15,Ashley & psychics,2,302,19,6.0,SB
IN15,Shepherd boy & wolf,3,268,5,2.0,SB
IN15,Cat Videos,4,291,1,0.0,SB
IN15,Father & sons,5,189,1,1.0,SB
IN15,Man vs. monkeys,6,324,6,2.0,SB
IN15,Rabbit's thesis,7,361,1,0.0,SB
IN15,Tim's brilliant career,8,282,2,1.0,SB
IN16,Lion & mouse,1,219,0,0.0,SB
IN16,Tim's brilliant career,2,282,3,1.0,SB
IN16,Rabbit's thesis,3,361,1,0.0,SB
IN16,Father & sons,4,189,0,0.0,SB
IN16,Man vs. monkeys,5,324,0,0.0,SB
IN16,Cat Videos,6,291,0,0.0,SB
IN16,Shepherd boy & wolf,7,268,0,0.0,SB
IN16,Ashley & psychics,8,302,,,SB
IN17,Man vs. monkeys,1,324,28,9.0,SB
IN17,Cat Videos,2,291,34,12.0,SB
IN17,Lion & mouse,3,219,32,15.0,SB
IN17,Rabbit's thesis,4,361,23,6.0,SB
IN17,Tim's brilliant career,5,282,8,3.0,SB
IN17,Ashley & psychics,6,302,39,13.0,SB
IN17,Shepherd boy & wolf,7,268,40,15.0,SB
IN17,Father & sons,8,189,8,4.0,SB
IN18,Tim's brilliant career,1,282,18,6.0,SB
IN18,Cat Videos,2,291,3,1.0,SB
IN18,Shepherd boy & wolf,3,268,2,1.0,SB
IN18,Man vs. monkeys,4,324,5,2.0,SB
IN18,Lion & mouse,5,219,0,0.0,SB
IN18,Father & sons,6,189,0,0.0,SB
IN18,Ashley & psychics,7,302,0,0.0,SB
IN18,Rabbit's thesis,8,361,1,0.0,SB
IN19,Rabbit's thesis,1,361,150,42.0,JC
IN19,Lion & mouse,2,219,99,45.0,JC
IN19,Father & sons,3,189,93,49.0,JC
IN19,Ashley & psychics,4,302,,0.0,JC
IN19,Shepherd boy & wolf,5,268,,0.0,JC
IN19,Tim's brilliant career,6,282,,0.0,JC
IN19,Man vs. monkeys,7,324,,0.0,JC
IN19,Cat Videos,8,291,,0.0,JC
IN20,Shepherd boy & wolf,1,268,6,2.0,JC
IN20,Rabbit's thesis,2,361,0,0.0,JC
IN20,Tim's brilliant career,3,282,0,0.0,JC
IN20,Cat Videos,4,291,0,0.0,JC
IN20,Ashley & psychics,5,302,0,0.0,JC
IN20,Man vs. monkeys,6,324,0,0.0,JC
IN20,Father & sons,7,189,1,1.0,JC
IN20,Lion & mouse,8,219,1,0.0,JC
IN21,Lion & mouse,1,219,13,6.0,SB
IN21,Father & sons,2,189,10,5.0,SB
IN21,Man vs. monkeys,3,324,1,0.0,SB
IN21,Ashley & psychics,4,302,10,3.0,SB
IN21,Cat Videos,5,291,6,2.0,SB
IN21,Tim's brilliant career,6,282,6,2.0,SB
IN21,Rabbit's thesis,7,361,9,2.0,SB
IN21,Shepherd boy & wolf,8,268,19,7.0,SB
IN22,Cat Videos,1,291,,0.0,JC
IN22,Shepherd boy & wolf,2,268,3,1.0,JC
